user_input,model_output
"user: 我知道勞保是由老闆幫忙扣，但是如果我跳槽到新公司，勞保會不會有斷掉的情況啊？還是說新公司會接手繼續幫我交？而且如果我是做兼職，這樣還有勞保可以保嗎？
customer service: 當您跳槽到新公司後，原則上您的新雇主應該會為您辦理勞工保險的轉移手續。您的勞保不會有斷掉的情況，除非在轉換期間有未投保的空窗期。新公司會根據勞動部的規定，在您到職後的短時間內為您加入勞保，保障您的權益不中斷。

若您從事兼職工作，根據上面的資訊，只有在特定情形不需要為兼職人員投保健保。至於勞保的部分，除了公司聘用的兼職人員，如有僱傭關係，公司也應該為兼職人員投保勞工保險，因此即使您是做兼職，只要您和雇主之間存在僱傭關係，您仍然可享有勞工保險的保障。但如果您在一週工時不到12小時，您的雇主並不需要為您投保健保。這些規定確保了無論您是全職或兼職員工，只要有僱傭關係，您的基本勞動保險權益應當被保障。",N
"user: 大大，聽說家人如果自己有工作就不用跟我一塊兒繳健保了對不？那個...退這玩意兒要填什麼表啊，麻煩說一下行不行？
customer service: 是的，如果您的家人已經有自己的職業，他們就可以自行作為被保險人繳納健保，不需要繼續作為眷屬跟您一起繳納。辦理眷屬的退保，需要填寫健保專用的「保險對象退保申報表」〈L表〉，然後寄至健保署辦理。如果是填寫一元化表格，記得將表格抬頭的勞保退保申報表字樣劃掉，並在表格上加蓋所在單位的大小章。",N
"user: 好的，請問一下，健保署分區業務組的聯絡方式在哪裡可以找到？還有，上網處理事情安全嗎？會不會有資料外洩或被駭客攻擊的風險啊？
customer service: 您可以透過健保署全球資訊網找到分區業務組的聯絡方式，請參考以下連結：[健保署分區業務組聯絡方式](https://www.nhi.gov.tw/Content_List.aspx?n=163B8937FBE0F186&topn=163B8937FBE0F1861)。至於網路安全的問題，健保署的網站有採取一定的資訊安全措施來保護個人資料，不過任何連線至網際網路的系統都存在一定的風險，因此健保署也會持續強化網路安全，以保護民眾的個人資訊安全。不過，為了個人資料的安全，建議在使用公共Wi-Fi或不安全的網路連線時應增加警覺，並定期更新個人帳戶密碼。",N
"user: 唉呀，那要怎麼算出我欠多少錢呢？有沒有什麼快速的方法，或者網路上可以查的？
customer service: 您可以透過兩種方式來查詢保費計費明細，包含您欠繳的金額：

1.使用電腦並準備讀卡機以及已註冊的健保卡（或擁有自然人憑證），登入「個人健保資料網路服務作業」網站（https://eservice.nhi.gov.tw/personal1/system/Login.aspx），依照指示點選保費相關作業查詢與列印/保費計費明細申請及下載，照著流程操作後送出申請，就可以查詢一年內的保費計費明細（含投保金額）。

2.若您有使用智慧型手機，可以下載「全民健保行動快易通APP」，登入「健保櫃檯」後，點選個人各項查詢及設定/保費計費明細，按申請或輸入電子信箱按郵寄明細表來查詢一年內的保費計費明細（含投保金額）。",N
"user: 喔喔，原來如此。那個...我上網查到的資料說可能要去戶政事務所辦，是嗎？還是要去哪裡辦理，係不是應該每個單位都會有的？如果沒有，才需要申請嗎？
customer service: 您的小孩出生後，要辦理加入健康保險，通常是到戶籍所在地的鄉鎮市區公所辦理健保的相關業務。若您對相關流程有疑問，建議您直接撥打健康保險署客服專線，或是親自前往戶籍地公所詢問服務人員，他們會提供您詳細的指導和協助。",N
"user: 如果我只在一間公司參加健保，那我的員工的健保要怎麼辦？我需要為他們另外投保嗎？
customer service: 若您是雇主，依據健保法第15條規定，僱用有酬勞的員工時，您作為雇主有責任為您的員工辦理健保投保手續。員工的健保投保生效日應為到職日，退保生效日則為離職日。此外，根據健保法第84條規定，若投保單位未依規定辦理員工的健保，可能會被追繳保險費，並處以2倍至4倍的罰鍰。因此，您需要為您的員工辦理健保投保，不能讓員工自己在外面保。如果您有疑問或需要協助辦理投保，可以與健保署聯繫。",N
"user: 啊，那個…我朋友告訴我他從大陸帶老婆來臺灣，她不用申請什麼就可以開始工作了。這跟我聽到的不一樣啊，是不是還有其他條件啊？
customer service: 大陸配偶來臺若是持有依親居留或長期居留臺灣地區入出境許可證的情況下，如果是為一定雇主工作，則他們不需要申請工作許可就可以在台灣工作。也就是說，如果您朋友的太太持有此類入出境許可證，且是被特定雇主雇用，她確實可以直接在臺灣工作而無需申請額外的工作許可。",N
"user: 瞭解，那麼如果我的店只是兼職生意，大部分時間我還是在我的全職工作上班，那麼我是否應該將全職工作作為投保的對象，而非我那份兼職的小店呢？
customer service: 是的，您應該以全職工作作為主要的投保對象。根據規定，若您同時具有全職和兼職的工作，應以您的專任職務，也就是您的全職工作來參加全民健康保險。如果您的兩份工作時間長短相同，則以收入較多的工作來做為投保的依據。因此，如果您的全職工作是您的主要職業，您就應該以該職業作為投保的對象。",N
"user: 啊對，如果我已經是員工身分在其他地方保了健保，但我自己的公司資料上忘了給你們更新，如果沒給你們薪水證明和在職證明，這樣會不會有問題啊？
customer service: 如果您已經以員工身分在其他公司投保健保，但您自己公司的保險檔案未更新，根據規定，當您需要辦理退保時，如果已經以員工身分投保中，在職證明和薪資證明是可以不用提供的。不過，建議您還是更新您的資料，以免將來在需要申請健保相關服務時造成不便。",N
"user: 哇，您解釋得真清楚，謝啦！但我還有個問題，如果我自己是老闆，自己創業的話，我的健保投保是不是就要走自營作業者的那條路？還有，自己當老闆的話，保費是按收入來計算，那這個收入是怎麼認定的呢？是看稅單嗎？如果剛開始業績不穩定，會有哪些因素會影響到健保費用的計算啊？
customer service: 如果您是自己創業的老闆，且沒有僱用有酬員工，健保投保的身份通常會是自營作業者。在您所提供的資訊中，記帳及報稅代理業務人已依法辦理執業登記且未僱用有酬人員幫同工作，其投保身分應依法轉換為第1類第5目被保險人，自行負擔相應的保險費。

至於自營業者的健保投保收入如何認定：
1. 您需要自行申報投保金額。自營業者須依實際經營狀況舉證申報投保薪資，但不得低於全民健康保險法針對該職業類別設定的最低投保金額分級標準。
2. 投保金額的最低標準會按照投保金額分級表的規定，若您的實際所得低於第6級分級表的最低標準，健保費還是要按第6級標準繳納。

關於影響健保費用計算的因素：
- 新創業自營業者的收入可能起伏不定，初期可能有較低的收入，所以健保費計算時會以最低標準進行評估。
- 如果業績改善，您需要依照實際收入情況調整申報的投保金額。
- 一旦您的收入超過原先申報的投保金額，則需要調高投保金額等級，以符合實際收入狀況。

實際的收入通常是以您向稅務機關申報的所得為依據，您可能需要提供稅單或其他收入證明文件來舉證申報投保金額。如果您尚未有穩定的稅單記錄，可以先依照投保金額分級表的最低標準進行投保，後續根據業績變化做出適當的調整。

提醒您定期檢查並更新您的投保金額，以符合您實際的營業狀況，避免日後補繳或繳納不足的問題。如果有更進一步的問題，建議直接與衛生福利部中央健康保險署聯繫獲得最準確的資訊。",N
"user: 我在想要不要來臺灣工作一陣子，但是我也想養隻寵物，請問台灣是個適合養寵物的地方嗎？例如狗或是貓？這邊有像是寵物公園這種的地方讓寵物可以活動嗎？還有，如果帶寵物來台灣的話，進口寵物需要辦哪些手續啊？
customer service: 很抱歉，我提供的資訊侷限於健保署的相關業務，對於寵物飼養的環境與規範、寵物公園的資訊或是將寵物帶入台灣的進口手續等問題無法提供具體資訊。您可以進一步聯繫內政部移民署或農委會動植物防疫檢疫局，以獲得正確且完整的流程與規定資訊。",Y
"user: 小的我有個疑惑，在下現在是自由工作者，沒有固定職勤，這種情況下，老兵我有啥特殊通道可以投保健保的嗎？
customer service: 您好，健保制度規定沒有固定工作的情況下，可以通過以下幾種方式進行投保：
1. 若您有配偶或子女正在工作，您可以選擇依附他們作為眷屬投保。
2. 若您沒有投保對象可以依附，則可以以地區人口身分在戶籍所在地的公所投保，或是在原本的投保單位投保，但前提是需要獲得原投保單位的同意。

由於您提到是老兵身分，若您是退役並已經退休，根據目前的規定，無法以第6類保險對象身分加入健保（102年1月1日以後已經刪除這一類的投保身份）。如果您在這個日期之前是以第6類投保，則可以繼續保持這樣的身份投保，否則就需要依照上述的一般規定來辦理投保。如有任何進一步的健保事宜，建議您直接洽詢當地的健保機構或戶籍地公所以獲取最準確的指導。",N
"user: 嘿，不好意思打擾一下，聽說店要歇業了，我們身上那張健保卡怎麼辦呢？需要給你們什麼東西嗎？
customer service: 若貴單位確定需要歇業，您需準備保險對象退保申報表（L表），並附上歇業公文影本，將這些文件寄送給健保署進行辦理。這樣所有人員才能正式退保。",N
"user: 聽朋友說退保或是投保可以搞個申復的，這個玩意兒是真的嗎？要怎麼弄啦？
customer service: 您的朋友所說的是真的。根據規定，健保投退保資料如果發生錯誤或遺漏，可以在發生之日起五年內向健保署申請異動。如果需要補辦員工或眷屬的投保或退保，請投保單位將補送的投保或退保申報表寄至所屬健保署轄區分區業務組受理。這樣就可以進行所謂的申復異動。您若有進一步的疑問或需要協助，可以直接與您所在地的健保署轄區分區業務組聯繫。",N
"user: 老大，但我超怕手續弄不好，萬一日後要繳的健保費用計算錯誤，這樣會有什麼後果啊？有沒有什麼方法可以避免這種事情發生啊？
customer service: 如果擔心健保費用計算可能出錯，您可以直接撥打至健保署業務承辦人員提供的聯絡電話，這樣就能得到專人協助處理，以確保健保費用計算的正確性。另外，您也可以根據每月繳款單上的資訊進行核對，以防止後續繳費上的問題。如果有任何疑問，都應及時與健保署聯絡，以避免日後出現繳費上的問題。",N
"user: 嘿，我在台湾读书，听说可以边读边打点小工，是真的吗？要是能工作，我是不是得先办什么特别的纸啊？
customer service: 外國學生在台灣讀書的同時，可以進行兼職打工，但是需要持有外僑居留證和勞動部勞動力發展署核准的工作許可證明文件。您在工讀期間應符合健保法第10條第2項之規定，以第1類受僱者身分參加健保。請注意辦理相關的工作許可程序，確保您的打工活動是合法的。",N
"user: 明白了，那如果她要依附我來參保，具體需要準備哪些文件和步驟呢？是不是需要去當地的健康保險局辦理呢？
customer service: 如果您要讓眷屬依附您參加健保，您可能需要準備的文件包括您和眷屬的身分證明文件、戶口名簿等，具體所需文件可能因個別情況而異。您可以親自或委託親友帶著所需文件到健保署各地分區業務組聯合服務中心或您所在地的縣市聯絡辦公室辦理。在有讀卡機的電腦上，也有可能透過健保署的官方網站或健保快易通APP進行線上辦理。具體步驟和細節，建議您可以直接與當地的健保單位聯繫確認，以獲取最準確的指導。",N
"user: 打擾一下，我那天跟朋友聽酒吧聊起來，他說什麼公司負責人保險金額有個什麼檔次的問題，這是怎麼一回事？啤酒喝多了有點忘了，你能給我解釋一下不？
customer service: 公司負責人的健保投保金額是根據公司的營利所得來決定的，而並非依照薪資所得。如果公司負責人發現自己的營利所得有所下降，可以提供營利事業所得的相關證明，然後填寫「調整投保金額申請表」（即S表），提交給健保署以申請調降其投保金額。這表示，公司負責人的健保保險金額並非固定不變，而是可以依照事業營利情況進行適時的調整。",N
"user: 如果我目前是在學生身份，沒有工作，也沒有家庭成員在臺灣，那我應該怎麼申請健康保險？需要什麼特定的文件嗎？
customer service: 如果您是學生且沒有工作，也沒有家庭成員在台灣，依照提供的資訊，您應該要持有學生居留資格並在台灣居住滿六個月，才符合強制投保的資格。學生通常是透過就讀的學校集體投保，學校會協助進行健保相關的申請手續。

您需要準備的文件可能包括：
1. 外僑居留證。
2. 就讀學校的學生證明。

具體的申請程序及需要的文件資料，建議您可詢問就讀學校的國際事務處或相關單位，他們會提供更進一步的指導與協助。",N
"user: 我朋友說現在自己幹生意的人投保金額都是最高檔的，這是真的嗎？如果我不想按最高的來，我該怎麼說？
customer service: 不完全是這樣。依照規定，未僱用有酬人員輔助工作的專門職業技術人員（會計師、律師、建築師、醫師、牙醫師、中醫師除外），在不提供證明文件的狀況下，預設需按照投保金額分級表的最高一級申報。但如果想要自行申報不同的投保金額，可以提供最近年度執行業務所得的相關核定資料來證明實際收入，並自行聲明調降投保金額。最低自行舉證申報的投保金額是分級表的第6級，從112年1月1日起為33,300元。如果選擇自行舉證申報，請提供相關核定文件，並依據核定後的所得來調整投保金額。",N
"user: 啊，客服小姐，我想問你喔，那個我阿公是榮民，他現在公司有保健保。但他之前說他可以不用公司的，改用榮民的，這中間有什麼玄機嗎？
customer service: 您好，如果您的阿公具備榮民身分且在公司就職，依照規定他必須以公司為主要投保單位加入健保，無法以榮民身分在公所投保。所以如果他目前在公司有保健保，就應該是依照公司員工的資格進行投保的，不能改用榮民的資格來投保。如果無工作的榮民才可以以榮民身分到戶籍所在地的公所投保，並且有退輔會補助保費的規定。希望這個解釋能幫助您更了解您阿公的保險狀況。",N
"user: 謝謝你的詳細解釋，那請問一下，要是我親家母和家公已經有了健保，但是要是想轉到我的名下作為我的眷屬需要怎麼操作？程序跟剛剛提到的差不多嗎？還是有其他需要特別注意的地方？
customer service: 若您的親家母和家公已有健保，要轉成您的眷屬投保，步驟如下：

1. **釐清保險狀態**:
   - 首先應確認親家母和家公目前的健保狀態，是以哪一類被保險人身分參保。

2. **墊妥文件**:
   - 您的身分證以及戶口名簿（證實家庭關係）。
   - 親家母與家公的身分證及原有的健保卡。

3. **辦理轉出**:
   - 如果親家母和家公與原投保單位（如公司、機關、學校等）一同投保，需要先到原投保單位辦理轉出手續。

4. **辦理轉入**:
   - 然後根據投保單位類型不同，您可以選擇直接至所在公司的人資部門或是依附投保單位提出加保您的親家母和家公為眷屬的申請。
   - 如果您是以戶籍地公所投保，則可以透過健康保險移動快易通應用程序或健康存折應用程序辦理眷屬轉入，或親自到鄉鎮市區公所、健保署聯合服務中心以及聯絡辦公室辦理。

5. **注意事項**:
   - 轉入申報的時間和程序可能因各單位的具體規定有所不同。
   - 眷屬的轉入是需要原被保險人（您）所在的投保單位辦理，因此需與該投保單位協調溝通相關事宜。

請特別注意，若原投保單位不同，轉出與轉入的操作可能會有所差異，建議您向原投保單位或您的投保單位詢問具體步驟和需要的文件，以順利完成眷屬健保的轉入手續。如果您或您的投保單位有疑問，可以聯繫衛生福利部中央健康保險署獲得更正確的資訊與指導。",N
"user: 請問一下啦，我孩子快出生了，我自己目前也無業，就跟著爸媽保健保的那種。我朋友跟我說，小孩可以加在媽媽名下，這事怎麼操作啊？是不是生了直接去公所，還是有其他地方要跑一跑的？
customer service: 您孩子出生後，若您是成年人且目前無職業，可以將您的小孩依附您本人作為眷屬加入健康保險。請您帶上身分證、戶口名簿等相關文件的正本以及退保證明，到戶籍地的公所辦理新生兒的投保手續。",N
"user: 客服小哥，問你個事。我阿公退休了，說什麼他的勞保健保得換新的了。他老人家啥都不懂，也不愛問，您告訴我得帶他去哪辦這玩意兒？
customer service: 您好，若您的阿公退休了，他的健保投保身分可能需要進行調整。如果他退休後不再工作的話，他可以選擇以下方式投保：
1. 如果您阿公有配偶或子女在工作，可以依附於他們作為眷屬投保。
2. 如果沒有可以依附的人，那麼他可以以地區人口的身分在戶籍地公所投保。

至於相關的具體辦理地點及流程，您可以帶阿公親自前往戶籍所在地的公所查詢相關資訊。如果有不明白的地方，也可以直接前往或聯繫健保署提供的聯合服務中心諮詢，他們會協助您具體操作。",N
"user: 如果小陳離職後，他的新公司尚未辦理加保前，小陳還是需要自己繳納健保費，那他應該怎麼辦理？
customer service: 如果小陳離職後新公司尚未辦理加保，在新公司加保之前，小陳應該要依據適當的身份自行投保全民健康保險，確保其健保權益不中斷。小陳可以選擇以第二類被保險人(自營業者、農民、非薪資所得者)或第三類被保險人(無固定雇主且符合一定資格的人)的資格來投保。至於保險費的繳納，則會由健保署寄發健保費繳款單，小陳可以依照繳款單上的指示進行繳費。如果期間變成新公司已開始投保，則健保署會停止寄發繳款單，而改由新公司負責扣繳健保費。",N
"user: 那如果妳說的什麼超過三十天了呢？怎麼算？是要重新算六個月嗎？還有其他辦法可以不用等那麼久嗎？
customer service: 若是員工已超過三十天未投保，則應按照全民健康保險法規定自行至戶籍所在地的公所重新辦理加入保險，並不是重新計算六個月的問題。

至於要不要重新等待六個月的條件，例如是否享有即時給付權益，則需參考具體規定或是洽詢當地衛生局或健康保險署相關服務窗口，因為提供的資料中沒有談及此情況具體的操作細節。如果對投保流程有疑問，建議直接與公所或全民健保署詢問，以獲得最準確的資訊。",N
"user: 那如果她的公司是家小本生意，員工不到五個人，這樣還有差別嗎？
customer service: 在台灣，根據健保的規定，不管是公司規模大小或員工人數多寡，只要有受僱關係存在，雇主就必須為員工辦理投保，並無公司規模或員工人數的限制。所以，即使是員工人數不到五人的小本生意，只要員工有僱傭關係，雇主依然有義務為其員工投保健保。一旦員工不再在該公司工作，不論公司大小，雇主就應當停止為該離職員工繳納健保費，而員工需依照前面說的方式，轉為其他身分投保。",N
"user: 很好，請問這些程序都有沒有時間限制？如果我們延遲了提交這些文件，會有什麼後果呢？
customer service: 根據所提供的資訊，關於申報表的更正時間限制與後果沒有特別說明。但為了避免可能的不便或額外的行政處理，建議盡快進行更正，這樣可以確保投保資料的準確性，避免影響到未來可能需要的健保給付或其他與健保相關的事宜。如果對於更正流程或時間上有特別的疑問，建議您直接聯絡健保署相關業務組或是到鄰近的健保署服務點詢問具體的指導。",N
"user: 說起來，如果我在A店是老闆，在B店也是，我是不是得在兩邊都弄健保那套？還是有什麼差別？
customer service: 若您在兩個店都是老闆，屬於全民健康保險的自行納保對象，應選擇其中一個主要職務進行投保。判斷主要職務時，可以考慮您在哪一個店花費的工作時間更長，或者收入較多，以此作為主要投保單位的依據。但提供的資訊中未具體提到兩處工作都是老闆的情形，如有進一步詳細規定，建議您直接向全民健康保險署或相關單位詢問。",N
"user: 了解，那如果我們全家的收入不太穩定，這樣健保費會不會一直變動呢？平常應該要怎麼預防這情況發生？
customer service: 若貴家的收入不穩定，可能會影響作為健保被保險人的投保類別，例如以薪資所得投保的家庭成員，其健保費將根據其薪資變動而有所調整。若是以經營所得、投資所得或其他所得投保，則會依照財稅資料來核定健保費。

為了避免因收入波動導致健保費變動，家庭成員若可轉為以家庭為單位的被保險人（如眷屬）投保，則其健保費率將根據投保者的投保金額，按一定比率分配每名眷屬的保險費，這樣可以避免個別收入變動直接影響健保費。

若是無法預測收入，或希望穩定健保費用，您可以考慮以下幾點：
1. 維持在固定金額的投保類別，例如以「事業單位員工」、「公教人員」等方式投保，依照固定薪資計算保費。
2. 定期更新收入狀況，尤其是當收入有顯著變動時，及時通知健保署調整投保金額，以符合實際所得。
3. 若是自營業者或自由職業者，請參照上一年度的財稅資料進行估算，定期自我檢視並保持與健保署聯絡，確保投保金額合適。

若您希望獲得更穩定的健保費率，建議可以與健保署進行溝通，確認是否有適合您家庭狀況的投保方式或其他相關建議。",N
"user: 大大，如果我发现老板没帮我搞定健保这件事情，我该咋整啊？有没有什么地方能告诉他吓吓他的？
customer service: 若您發現老闆沒有為您辦理健保，您可以檢附任何能證明您在公司上班的證明文件，如勞保卡或薪資證明，連同申復表郵寄至健保署進行申復。健保署收到後，承辦人員會進行審核，進一步處理您的情況。如果公司因此被查出有未依法為員工投保的情形，可能會受到相應的處罰或追究。",N
"user: 嗯哼，你說的也對。那請問健康保險費會不會因為保險投保人變了，保險費會跟著變動啊？另外有沒有啥規定說子女必須要跟確切的一方投保不可更改的？如果爸爸的保險費比較便宜但是後來媽媽升職了保險費變得更便宜，我能不能再換過去跟媽媽投保？
customer service: 健康保險費的計算通常與被保險人的投保類別以及所屬投保單位的薪資收入等級有關。假如您從父親投保轉為母親投保，可能會因為投保的薪資等級不同導致保險費有所變動。

至於規定方面，根據我所知道的資訊，並沒有提及子女必須要永久跟隨特定父母投保的規定。如果家庭狀況有所變化，例如母親升職導致投保條件更加有利，您願意且符合資格轉投保至母親名下，應該是可以進行調整的。您需要辦理的是，由原依附父親的投保單位填寫退保申報表（L表）辦理退保，然後在母親依附的投保單位填寫投保申報表並以前單位退保之日期為新的投保日。

當有這類情形時，建議您聯繫衛生福利部中央健康保險署或相關服務中心，積極谘詢專業的意見並取得最新與準確的操作指導。這樣可以確保您的投保轉換過程符合規定且不會有保險保障上的間隙。",N
"user: 那你知不知道哪裡可以查到健保署的官網啊？直接上網搜""健保署""就會出來嗎？我電腦不太會用，能不能告訴我比較詳細的搜尋步驟？
customer service: 當然可以提供給您健保署官網的網址，您只需要在網路瀏覽器的網址列輸入以下網址即可直接訪問健保署官方網站：https://www.nhi.gov.tw/
如果您不熟悉使用網路，您也可以在網路搜尋引擎（如Google、Yahoo等）的搜尋欄中輸入「健保署」，搜索結果列表中通常會顯示健保署的官方網站連結，點擊連結就可以進入健保署的網站了。",N
"user: 哩賀，我跟你講哦，我媽媽退休了，我們家那位大人說要啥啥依附，這是啥玩笑？申請這個健保眷屬，具體得怎麼弄啊？
customer service: 您好，如果要依附您媽媽投保做為健保眷屬，首先要確認您是否符合做為眷屬的資格。符合資格的狀況包括未成年的子女、成年的在學子女無職業、受監護宣告者、領有身心障礙手冊且不能自謀生活者或是重大傷病者無職業。如果您是服完役的役男，在退伍後一年內也能以眷屬身分投保。如您符合上述條件之一，需要將退伍令影本（如適用）、身分證等相關文件以及投保申報表一起，向您母親投保的單位提出申請。如果不確定自己的情形或需要更多資訊，建議您可以攜帶相關文件到健保署各地分區業務組聯合服務中心或各縣市聯絡辦公室詢問，也可以透過健保署網站或健保快易通APP進行相關操作。",N
"user: ""那個，如果我要是幫我家小孩子弄這個投保證明，那得怎麼弄？我是他媽我可以代辦嗎？""
customer service: 要幫新生兒辦理投保，您可以作為母親代為辦理。請您將新生兒的戶籍資料影本或其他相關證明文件準備好，然後與投保單位填寫投保表格。在台灣出生的新生兒應自出生之日起投保。您可以前往您的投保單位或是戶籍所在地的公所進行這些辦理程序。",N
"user: 啊抱歉啊，可能我了解得不太夠，你能告訴我不，像這種眷屬要分開保了，保險的日期連著怎麼弄？怕搞不好孩子就漏了保，那咋辦啊？
customer service: 當您想要將眷屬的保險轉換到另一名家庭成員名下時，您需要先確定原保險對象的投保單位辦理退保，且填寫「保險對象退保申報表」（L表）。之後，新的投保單位要填寫保險對象投保申報表，並以原保險單位的退保日期作為新投保日。這樣做的目的是要確保保險期間連續，無間斷，以避免您的子女出現保險保障的空窗期。轉換前後的投保單位無論哪一邊先辦理都可以，重點是保險日期要能夠無縫銜接。",N
"user: 哈囉，小的有个问题想问一下。就是那个，我岳父母能用我的名字加入健保吗？我是他们的女婿啦，这样行不行的通？
customer service: 女婿不能將岳父母列為眷屬參加全民健康保險。",N
