source_id,variant_index,paraphrase
key-qa-1,36,我的子女成年了，想從我名下退出健保，請問怎麼申辦？
key-qa-1,37,小孩成年後要從我名下辦理健保退保，申請流程為何？
key-qa-1,38,孩子成年了，要解除在我名下的投保，如何申請退保？
key-qa-1,39,小孩已成年，要從我的健保名下退出，請問如何申請？
key-qa-1,40,子女已成年，想要從我名下退掉健保，要怎麼申請？
key-qa-1,41,請問小孩已成年，從我名下退保該如何辦理？
key-qa-1,42,孩子成年後要不再列在我名下投保，退保怎麼申請？
key-qa-1,43,我的小孩成年，要從我名下退出投保，申請方式為何？
key-qa-1,44,小孩成年了，想申請從我名下退保，請問怎麼做？
key-qa-1,45,子女成年後要辦從我名下退保，請問要如何申請？
key-qa-1,46,孩子已經成年了，要自我名下退保，該怎麼申請？
key-qa-1,47,我的孩子成年後需要從我名下退保，請問如何辦理？
key-qa-1,48,小孩已成年，要取消在我名下的投保，退保申請怎麼辦？
key-qa-1,49,子女成年了，健保要從我名下退保，請問要怎麼申請？
key-qa-1,50,孩子成年了，想從我名下辦理退保，該如何申請？
key-qa-10,1,小孩想要依附我投保，應該怎麼辦理？
key-qa-10,2,我要讓小孩跟著我投保，該如何申請？
key-qa-10,3,小孩要加到我的健保投保名下，申請方式是什麼？
key-qa-10,4,請問小孩要跟我一起投保，要怎麼申辦？
key-qa-10,5,如果小孩要隨我投保，流程要怎麼申請？
key-qa-10,6,我想幫小孩辦跟我投保，該怎麼申請？
key-qa-10,7,小孩要跟在我這邊投保，請問要如何辦理？
key-qa-10,8,小孩要附在我名下投保，要怎麼提出申請？
key-qa-10,9,要讓小孩跟我投保，需要怎麼申請？
key-qa-10,10,小孩要改跟我投保，申請要怎麼做？
key-qa-10,11,請問要幫小孩辦理跟我投保，該怎麼申請？
key-qa-10,12,小孩要隨同我投保，申辦方式為何？
key-qa-10,13,我可以怎麼申請讓小孩跟我投保？
key-qa-10,14,小孩若要跟我投保，要如何申請辦理？
key-qa-10,15,想讓小孩依我投保，請問申請方式？
key-qa-10,16,小孩要放在我這邊投保，該怎麼辦？
key-qa-10,17,我要申請小孩跟我投保，請問怎麼辦理？
key-qa-10,18,小孩要跟著我的健保投保，怎麼申請？
key-qa-10,19,請問小孩跟我投保的申請方式是什麼？
key-qa-10,20,小孩要加入我這邊投保，要如何申辦？
key-qa-10,21,如果要讓小孩跟我健保投保，要怎麼申請？
key-qa-10,22,小孩要掛在我名下投保，請問怎麼申請？
key-qa-10,23,我想辦小孩跟我投保，流程怎麼走？
key-qa-10,24,小孩要依附在我這裡投保，該如何申請？
key-qa-10,25,請問小孩要隨我投保，辦理方式是什麼？
key-qa-10,26,小孩要跟我同一邊投保，要怎麼辦理申請？
key-qa-10,27,要申請小孩依附我投保，該怎麼做？
key-qa-10,28,小孩要轉到跟我投保，請問如何申請？
key-qa-10,29,我想讓小孩跟我一起保健保，要怎麼申請？
key-qa-10,30,小孩想跟我這邊投保，請問要怎麼辦？
key-qa-10,31,請問小孩要跟我投保時，申請程序是什麼？
key-qa-10,32,小孩要跟在我的名下投保，如何辦理？
key-qa-10,33,我要幫小孩申請跟我投保，該如何處理？
key-qa-10,34,小孩要併到我這邊投保，申請方式為何？
key-qa-10,35,請問小孩跟著我投保要怎麼申辦？
key-qa-10,36,小孩要依我的身分投保，要怎麼申請？
key-qa-10,37,想請問小孩要跟我投保，該如何辦？
key-qa-10,38,小孩要由我這邊投保，申請要怎麼處理？
key-qa-10,39,我要讓小孩隨我投保，請問如何申辦？
key-qa-10,40,小孩要辦成跟我投保，該怎麼申請？
key-qa-10,41,請問要把小孩加到我名下投保，要如何申請？
key-qa-10,42,小孩要跟我辦投保，該怎麼辦理？
key-qa-10,43,我想申請讓小孩隨我投保，要怎麼做？
key-qa-10,44,小孩要在我名下投保，請問申請方式？
key-qa-10,45,請問小孩要依附我這邊投保，怎麼辦理？
key-qa-10,46,小孩要跟我投保的話，要怎麼提出申請？
key-qa-10,47,小孩要加入我的投保，請問如何申請？
key-qa-10,48,我該怎麼幫小孩申請跟我投保？
key-qa-10,49,小孩要隨我的健保投保，辦理方式是什麼？
key-qa-10,50,請問小孩想跟我投保，要怎麼申請辦理？
key-qa-2,1,公司老闆要如何加入健保？
key-qa-2,2,公司老闆健保要怎麼加？
key-qa-2,3,請問公司老闆怎麼加保健保？
key-qa-2,4,公司老闆要怎麼辦理健保加保？
key-qa-2,5,公司老闆想加健保該怎麼做？
key-qa-2,6,公司老闆加入健保的方式是什麼？
key-qa-2,7,公司老闆要加保健保要怎麼處理？
key-qa-2,8,請問公司老闆健保加保怎麼辦？
key-qa-2,9,公司老闆要辦健保加保該怎麼辦？
key-qa-2,10,公司老闆如何辦理加入健保？
key-qa-2,11,公司老闆加健保的流程要怎麼問？
key-qa-2,12,想請問公司老闆要怎麼加入健保？
key-qa-2,13,公司老闆健保加保要如何辦理？
key-qa-2,14,公司老闆要投保健保該怎麼做？
key-qa-2,15,公司老闆怎麼辦健保加保？
key-qa-2,16,請問公司老闆要如何加健保？
key-qa-2,17,公司老闆加保健保的辦法是什麼？
key-qa-2,18,公司老闆要加入健保要怎麼申請？
key-qa-2,19,公司老闆健保要如何加保？
key-qa-2,20,公司老闆要怎麼投保健保？
key-qa-2,21,公司老闆辦理健保加保要怎麼做？
key-qa-2,22,請問老闆是公司老闆的話健保怎麼加？
key-qa-2,23,公司老闆加健保該如何處理？
key-qa-2,24,公司老闆想辦健保加保要怎麼辦？
key-qa-2,25,公司老闆健保投保要怎麼辦理？
key-qa-2,26,公司老闆要加進健保要怎麼做？
key-qa-2,27,公司老闆如何申請健保加保？
key-qa-2,28,請問公司老闆加健保要怎麼辦理？
key-qa-2,29,公司老闆健保要怎麼辦加保？
key-qa-2,30,公司老闆想加入健保要如何辦？
key-qa-2,31,公司老闆加保到健保要怎麼做？
key-qa-2,32,公司老闆要辦加入健保，該怎麼處理？
key-qa-2,33,公司老闆要如何投保健保？
key-qa-2,34,公司老闆加健保需要怎麼辦？
key-qa-2,35,請問公司老闆的健保要怎麼加保？
key-qa-2,36,公司老闆想投保健保，該怎麼辦？
key-qa-2,37,公司老闆健保加入要怎麼處理？
key-qa-2,38,公司老闆辦健保要怎麼加保？
key-qa-2,39,公司老闆要加入全民健保該怎麼辦？
key-qa-2,40,請問公司老闆如何辦健保加保？
key-qa-2,41,公司老闆要申請加入健保要怎麼做？
key-qa-2,42,公司老闆健保加保該如何申請？
key-qa-2,43,公司老闆要加健保該去哪裡辦理？
key-qa-2,44,公司老闆想加保健保，流程怎麼走？
key-qa-2,45,公司老闆如何加保到健保？
key-qa-2,46,請問公司老闆投保健保要怎麼處理？
key-qa-2,47,公司老闆健保加保方式為何？
key-qa-2,48,公司老闆要怎麼辦理投保健保？
key-qa-2,49,公司老闆加入健保要如何申請？
key-qa-2,50,公司老闆加健保要怎麼申請？
key-qa-3,1,健保署會不會通知我繼續投保？
key-qa-3,2,我會收到健保署通知要繼續投保嗎？
key-qa-3,3,健保署是否會通知我續保？
key-qa-3,4,健保署會通知我辦理繼續投保嗎？
key-qa-3,5,請問健保署會告知我需要繼續投保嗎？
key-qa-3,6,我需要等健保署通知我繼續投保嗎？
key-qa-3,7,健保署會主動通知我續保嗎？
key-qa-3,8,健保署是否會主動告知我繼續投保？
key-qa-3,9,如果要繼續投保，健保署會通知我嗎？
key-qa-3,10,健保署會提醒我繼續投保嗎？
key-qa-3,11,我會接到健保署關於繼續投保的通知嗎？
key-qa-3,12,健保署會發通知給我續保嗎？
key-qa-3,13,續保的事情健保署會通知我嗎？
key-qa-3,14,關於繼續投保，健保署會通知我嗎？
key-qa-3,15,請問續保時健保署會通知本人嗎？
key-qa-3,16,健保署會不會提醒我辦理續保？
key-qa-3,17,我是否會被健保署通知繼續投保？
key-qa-3,18,健保署會告知我繼續加保嗎？
key-qa-3,19,我繼續投保會有健保署通知嗎？
key-qa-3,20,健保署會通知我是否要續保嗎？
key-qa-3,21,請問健保署會不會通知我續保？
key-qa-3,22,健保署會不會告訴我可以繼續投保？
key-qa-3,23,健保署是否會發出續保通知給我？
key-qa-3,24,我會不會收到健保署的續保通知？
key-qa-3,25,健保署會有通知我繼續投保的程序嗎？
key-qa-3,26,健保署會通知我要辦續保嗎？
key-qa-3,27,健保署會不會主動告知我續保？
key-qa-3,28,請問我繼續投保時會收到健保署通知嗎？
key-qa-3,29,健保署會通知我接續投保嗎？
key-qa-3,30,健保署是否會提醒我接著投保？
key-qa-3,31,我會收到健保署關於續保的提醒嗎？
key-qa-3,32,健保署會通知我繼續參加健保嗎？
key-qa-3,33,健保署會不會通知我繼續加健保？
key-qa-3,34,健保署是否會告知我續投保？
key-qa-3,35,續投保健保署會通知我嗎？
key-qa-3,36,健保署會發續投保通知給我嗎？
key-qa-3,37,我是否需要等健保署通知續保？
key-qa-3,38,健保署會不會有續保通知給我？
key-qa-3,39,健保署會通知我後續要繼續投保嗎？
key-qa-3,40,健保署是否會提醒我後續投保？
key-qa-3,41,請問健保署會通知我接續健保嗎？
key-qa-3,42,我會收到健保署要我續保的通知嗎？
key-qa-3,43,健保署會不會告知我辦理繼續投保？
key-qa-3,44,健保署是否會通知本人續保？
key-qa-3,45,健保署會主動提醒我繼續加保嗎？
key-qa-3,46,關於續保，健保署會主動通知我嗎？
key-qa-3,47,健保署會不會寄發繼續投保通知給我？
key-qa-3,48,我會收到繼續投保的健保署通知嗎？
key-qa-3,49,健保署會通知我繼續維持投保嗎？
key-qa-3,50,請問健保署會提醒我續投保嗎？
key-qa-4,1,健保繳費單能不能線上刷卡？
key-qa-4,2,健保繳費單可以在網路上刷卡繳嗎？
key-qa-4,3,請問健保繳費單是否可線上刷卡付款？
key-qa-4,4,健保繳費單能透過線上刷卡繳費嗎？
key-qa-4,5,我想問健保繳費單可不可以線上刷卡？
key-qa-4,6,健保繳費單是否支援線上刷卡？
key-qa-4,7,健保繳費單有辦法用線上刷卡繳納嗎？
key-qa-4,8,請問健保繳費單能用網路刷卡嗎？
key-qa-4,9,健保繳費單可以用網路刷卡付款嗎？
key-qa-4,10,健保繳費單線上可以刷卡繳費嗎？
key-qa-4,11,健保繳費單能在網路上刷卡付款嗎？
key-qa-4,12,請問健保繳費單可以透過線上刷卡繳款嗎？
key-qa-4,13,健保繳費單可否線上刷卡繳費？
key-qa-4,14,健保繳費單能否線上刷卡付款？
key-qa-4,15,健保繳費單可以用線上信用卡繳嗎？
key-qa-4,16,請問健保繳費單能用線上信用卡付款嗎？
key-qa-4,17,健保繳費單線上刷卡繳款可以嗎？
key-qa-4,18,健保繳費單可不可以在網路上刷卡繳費？
key-qa-4,19,請問能線上刷卡繳健保繳費單嗎？
key-qa-4,20,可以線上刷卡繳健保繳費單嗎？
key-qa-4,21,健保繳費單是否能在網路刷卡繳納？
key-qa-4,22,健保繳費單有提供線上刷卡付款嗎？
key-qa-4,23,健保繳費單能不能用網路刷卡繳款？
key-qa-4,24,請問健保繳費單有支援網路刷卡嗎？
key-qa-4,25,健保繳費單能在線上以刷卡方式繳費嗎？
key-qa-4,26,健保繳費單可以在線上以信用卡付款嗎？
key-qa-4,27,請問健保繳費單可用線上刷卡方式繳納嗎？
key-qa-4,28,健保繳費單能不能在線上刷信用卡？
key-qa-4,29,健保繳費單可以線上刷信用卡繳費嗎？
key-qa-4,30,健保繳費單能否透過網路刷卡繳費？
key-qa-4,31,請問健保繳費單是否可以網路刷卡付款？
key-qa-4,32,健保繳費單可以在網路上用信用卡繳嗎？
key-qa-4,33,健保繳費單能在網路上用信用卡付款嗎？
key-qa-4,34,請問線上刷卡可以繳健保繳費單嗎？
key-qa-4,35,健保繳費單有線上刷卡繳費的方式嗎？
key-qa-4,36,健保繳費單是否有線上刷卡付款方式？
key-qa-4,37,我可以用線上刷卡繳健保繳費單嗎？
key-qa-4,38,健保繳費單能用信用卡在線上繳費嗎？
key-qa-4,39,請問健保繳費單可否用信用卡線上付款？
key-qa-4,40,健保繳費單能不能透過網路刷信用卡？
key-qa-4,41,健保繳費單可以透過網路刷信用卡繳嗎？
key-qa-4,42,健保繳費單用線上刷卡繳費可以嗎？
key-qa-4,43,請問健保繳費單用網路刷卡繳可以嗎？
key-qa-4,44,健保繳費單是否能用線上刷卡方式付款？
key-qa-4,45,健保繳費單能以網路刷卡方式繳納嗎？
key-qa-4,46,健保繳費單可以以線上刷卡方式付款嗎？
key-qa-4,47,請問健保繳費單能不能線上刷信用卡繳納？
key-qa-4,48,健保繳費單可在線上刷卡付款嗎？
key-qa-4,49,健保繳費單能在線上刷卡繳款嗎？
key-qa-4,50,請問健保繳費單是否支援線上信用卡繳費？
key-qa-5,1,我在一家公司任職正職，偶爾晚上和假日會到超商打工，超商發薪時扣勞健保，這樣是對的嗎？
key-qa-5,2,我有正職工作在公司上班，有時候晚上或假日去超商兼職，超商給薪時扣勞健保是否正確？
key-qa-5,3,我平常在公司當正職，偶爾夜間和假日到超商打工，薪水被扣勞健保合理嗎？
key-qa-5,4,我已經在一間公司做正職，晚上和假日有時會去超商打工，超商從薪資扣勞健保可以嗎？
key-qa-5,5,我在公司是正職員工，偶爾晚上、假日去超商兼差，超商發薪扣勞健保這樣對嗎？
key-qa-5,6,我目前在一家公司當正職，偶爾晚間和假日到超商打工，超商薪水裡扣勞健保是正確做法嗎？
key-qa-5,7,我有一份公司正職工作，有時晚上及假日還會去超商打工，超商給薪扣勞健保是否可以？
key-qa-5,8,我在公司上正職班，偶爾晚上或假日去超商兼職，超商薪資扣勞健保這樣正確嗎？
key-qa-5,9,我是在公司任職的正職人員，有時晚間和假日會去超商打工，超商扣勞健保是對的嗎？
key-qa-5,10,我公司有正職工作，偶爾晚上跟假日到超商打工，超商發薪時還扣勞健保，這樣可以嗎？
key-qa-5,11,我在一間公司擔任正職，有時候晚上和假日也會到超商兼職，超商薪水扣勞健保是否正確？
key-qa-5,12,我平日有公司正職工作，偶爾晚上及假日到超商打工，超商扣我的勞健保對嗎？
key-qa-5,13,我已在公司當正職，偶爾晚間或假日去超商兼差，超商給薪時扣勞健保正不正確？
key-qa-5,14,我在公司做正職，有時晚上和假日去超商打工，超商從薪水扣勞健保合不合理？
key-qa-5,15,我本身在一家公司是正職，偶爾晚上、假日去超商打工，超商發薪扣勞健保有沒有問題？
key-qa-5,16,我有在公司擔任正職，晚上和假日有時還去超商打工，超商薪資扣勞健保是正確的嗎？
key-qa-5,17,我目前是公司正職，偶爾晚上及假日會去超商打工，超商給薪時扣勞健保這樣對不對？
key-qa-5,18,我在公司當正職員工，有時晚間跟假日會到超商兼職，超商扣勞健保是否沒問題？
key-qa-5,19,我已經有公司正職，偶爾晚上和假日還會去超商兼差，超商發薪水時扣勞健保正確嗎？
key-qa-5,20,我是在一間公司做正職，有時晚上、假日會到超商打工，超商薪水扣勞健保可以這樣做嗎？
key-qa-5,21,我公司正職上班，偶爾晚間和假日去超商打工，超商給薪時仍扣勞健保，這樣合理嗎？
key-qa-5,22,我在一家公司有正職職務，有時晚上或假日到超商打工，超商扣薪水中的勞健保是對的嗎？
key-qa-5,23,我有正職在公司任職，偶爾晚上和假日還到超商打工，超商薪資扣勞健保是否合理？
key-qa-5,24,我平常是公司正職，有時候晚上跟假日去超商兼職，超商發薪水扣勞健保對不對？
key-qa-5,25,我在公司擔任正職工作，偶爾晚間及假日會去超商打工，超商扣勞健保正確嗎？
key-qa-5,26,我已有一份公司正職工作，有時晚上和假日去超商打工，超商給薪水時扣勞健保是否適當？
key-qa-5,27,我在一間公司正職上班，偶爾晚上和假日會到超商兼職，超商還扣勞健保，這樣是正確的嗎？
key-qa-5,28,我目前有公司正職，晚上和假日有時去超商打工，超商發薪時扣勞健保可以嗎？
key-qa-5,29,我在公司任正職，有時晚間和假日也會去超商打工，超商從薪資中扣勞健保是否正確？
key-qa-5,30,我正職是在公司上班，偶爾晚上或假日到超商打工，超商扣勞健保這樣對嗎？
key-qa-5,31,我在公司有正職身份，有時晚上和假日去超商兼職，超商薪水被扣勞健保是否正確？
key-qa-5,32,我平常在一家公司做正職，偶爾晚上和假日還會去超商打工，超商發薪扣勞健保可以嗎？
key-qa-5,33,我公司是正職員工，有時候晚上及假日會到超商打工，超商給薪時扣勞健保合理嗎？
key-qa-5,34,我在一間公司擔任正職人員，偶爾晚上或假日去超商兼差，超商扣勞健保是否正確？
key-qa-5,35,我有一個公司正職工作，晚上和假日有時到超商打工，超商發薪水還扣勞健保對嗎？
key-qa-5,36,我在公司上班是正職，偶爾晚間跟假日去超商打工，超商薪資扣勞健保這樣可以嗎？
key-qa-5,37,我已在一家公司任正職，有時晚上和假日兼職超商，超商給薪扣勞健保是對的嗎？
key-qa-5,38,我有公司正職身分，偶爾晚上及假日還去超商打工，超商從薪水裡扣勞健保是否合理？
key-qa-5,39,我目前在公司做正職，有時候晚上和假日去超商打工，超商扣薪資勞健保正確嗎？
key-qa-5,40,我在一家公司正職任職，偶爾晚間或假日到超商兼職，超商發薪時扣勞健保是否可以？
key-qa-5,41,我是在公司上班的正職，晚上和假日有時會去超商打工，超商給薪水扣勞健保這樣對嗎？
key-qa-5,42,我平常有公司正職工作，有時晚間和假日去超商兼職，超商薪水扣勞健保有沒有錯？
key-qa-5,43,我在公司當正職，有時候晚上和假日還到超商打工，超商給薪時扣了勞健保，這樣正確嗎？
key-qa-5,44,我已經是公司正職員工，偶爾晚上、假日到超商兼職，超商發薪扣勞健保合理嗎？
key-qa-5,45,我在公司任職正職，有時晚間及假日會去超商打工，超商扣我的勞健保是否正確？
key-qa-5,46,我有一份正職是在公司，偶爾晚上和假日會去超商打工，超商給薪時還扣勞健保可以嗎？
key-qa-5,47,我在公司做正職工作，有時晚上或假日去超商兼職，超商從薪水扣除勞健保對嗎？
key-qa-5,48,我目前是公司正職人員，偶爾晚上跟假日去超商打工，超商薪水還扣勞健保正確嗎？
key-qa-5,49,我公司正職任職中，有時晚上和假日到超商兼職，超商發薪時扣勞健保這樣有問題嗎？
key-qa-5,50,我在一間公司當正職員工，偶爾晚上和假日會去超商打工，超商給薪還扣勞健保是否正確？
key-qa-6,1,爸媽目前是掛在哥哥公司加健保，但我這幾年因為開刀醫藥費花很多，想把爸媽改加到我這邊，明年報稅列舉扣除額可以增加、也能節稅，請問要怎麼辦理？
key-qa-6,2,原本父母的健保都在哥哥的公司加保，可是我近幾年開刀醫療支出很高，想讓爸媽改掛在我名下，明年繳稅時列舉扣除額多一些來節稅，請問該怎麼做？
key-qa-6,3,爸媽現在都加保在我哥哥的公司，我這幾年開刀的醫藥費支出不少，想把他們的健保轉到我這邊，明年報稅時列舉扣除額能多一點，這樣要如何處理？
key-qa-6,4,父母原先是跟著哥哥公司加健保，但我這幾年因開刀醫藥費很高，想改成爸媽加在我這邊，明年繳稅列舉扣除額比較多，請問流程是什麼？
key-qa-6,5,我爸媽本來都在哥哥公司辦健保加保，因為我近幾年開刀醫藥費支出很大，想把爸媽的健保改到我這邊，明年報稅節稅用，請問應該怎麼辦？
key-qa-6,6,爸媽目前掛在哥哥公司投保健保，我這幾年因為開刀醫療費用很高，想將他們改加保到我這裡，讓明年列舉扣除額多一些，請問該如何辦理？
key-qa-6,7,原先爸媽的健保是加在哥哥公司名下，但我這幾年有開刀，醫藥費支出高，想把爸媽移到我這邊加保，明年繳稅時可多列舉扣除，這樣要怎麼做？
key-qa-6,8,我想請問，爸媽現在都在哥哥的公司加健保，我這幾年開刀醫藥費很多，如果想把爸媽改加在我這邊，明年報稅列舉扣除額增加，該怎麼辦？
key-qa-6,9,父母健保原本都掛在哥哥的公司，可是我這幾年的開刀醫藥費支出很高，想改掛到我這邊，明年申報列舉扣除額比較多，請問辦理方式？
key-qa-6,10,爸媽原本跟著哥哥公司加健保，我因為這幾年開刀醫藥費花得比較多，想將爸媽健保加到我這邊，明年繳稅時可以列舉扣除多一點，請問怎麼處理？
key-qa-6,11,目前爸媽是加保在哥哥公司，我這幾年開刀醫藥費負擔很高，想讓他們改加在我這邊，以便明年報稅列舉扣除額增加，請問要怎麼申辦？
key-qa-6,12,爸媽都在哥哥的公司投保健保，但我這幾年因開刀產生很高醫藥費，想把爸媽的健保改成加在我這裡，明年報稅可以節稅，請問如何辦理？
key-qa-6,13,原來爸媽是掛哥哥公司加健保，我這幾年開刀醫藥費支出偏高，想改讓爸媽加保在我這邊，明年列舉扣除額可以多一些，請問需要怎麼做？
key-qa-6,14,我爸媽健保現在在哥哥的公司名下，因為我這幾年開刀醫療費很多，想轉到我這邊加保，明年報稅列舉扣除額想多一點，請問該怎麼處理？
key-qa-6,15,父母目前都跟哥哥公司加健保，我這幾年有開刀且醫藥費支出很高，想把他們的健保加到我名下，讓明年繳稅時列舉扣除額增加，請問怎麼辦？
key-qa-6,16,爸媽的健保原本是在哥哥公司加保，我這幾年開刀醫藥費花不少，想將爸媽改掛到我這邊，明年申報所得稅時列舉扣除額可以多一點，該如何辦？
key-qa-6,17,請問如果爸媽目前在哥哥的公司加健保，而我這幾年開刀醫藥費很高，想讓爸媽改在我這邊加保，明年繳稅能多列舉扣除，應該怎麼做？
key-qa-6,18,爸媽原先都加保在哥哥公司，但我近幾年開刀醫藥費支出很高，想把爸媽健保調整到我這裡，明年報稅時列舉扣除額較多，請問辦理方式是什麼？
key-qa-6,19,我這幾年因開刀醫藥費支出很高，爸媽目前又是掛在哥哥公司加健保，我想改成爸媽加在我這邊，明年繳稅節稅，請問該如何處理？
key-qa-6,20,父母都在哥哥公司健保加保中，但我這幾年開刀的醫療費用很高，想把他們移到我這邊加保，讓明年列舉扣除額增加，請問要辦什麼？
key-qa-6,21,爸媽現在的健保是在哥哥公司，我這幾年開刀醫藥費支出高，想改到我這邊加保，明年繳稅時列舉扣除額可以多一點，請問應該怎麼申請？
key-qa-6,22,原先父母健保加在哥哥公司，我這幾年因為開刀醫藥費很多，想把父母改加在我這邊，明年報稅列舉扣除額增加以節稅，請問怎麼辦理？
key-qa-6,23,我爸媽目前健保掛哥哥公司，因我這幾年開刀醫藥費負擔高，想把爸媽的健保改掛我這邊，明年申報列舉扣除額能多一點，請問該怎麼做？
key-qa-6,24,爸媽原本是跟哥哥的公司加保健保，我這幾年開刀醫藥費支出很多，想轉成加在我這裡，明年繳稅時可以多列舉扣除，這樣流程怎麼走？
key-qa-6,25,請問爸媽都在哥哥公司加健保，但我這幾年開刀醫藥費很高，若想把爸媽改加到我這邊，明年報稅列舉扣除額比較多，要如何辦？
key-qa-6,26,父母現在加保在哥哥公司，因為我近年開刀醫藥費支出高，想把他們的健保轉來我這邊，明年繳稅可以節稅，請問該怎麼辦理？
key-qa-6,27,爸媽本來健保都加在哥哥的公司，可是我這幾年開刀醫藥費很高，想讓爸媽改加到我名下，明年報稅時列舉扣除額多一點，請問要怎麼做？
key-qa-6,28,目前父母的健保跟著哥哥公司，我這幾年開刀造成醫藥費支出很高，想把他們改掛在我這裡，明年列舉扣除額可以增加，請問如何申辦？
key-qa-6,29,我想把爸媽的健保從哥哥公司改加到我這邊，因為我這幾年開刀醫藥費很高，明年繳稅想用列舉扣除額多一點來節稅，請問怎麼辦？
key-qa-6,30,爸媽原先掛在哥哥公司加保健保，因我這幾年的開刀醫藥費支出很大，想改加在我這邊，讓明年報稅列舉扣除額多一些，請問要如何處理？
key-qa-6,31,父母健保現在是在哥哥公司，我這幾年有開刀且醫藥費很多，想把他們的健保轉到我這邊，明年申報列舉扣除額可以多一點，請問怎麼申請？
key-qa-6,32,爸媽都跟哥哥的公司加健保，但我這幾年開刀醫藥費支出不少，想把他們改加到我這裡，明年繳稅能增加列舉扣除額，請問該辦哪些手續？
key-qa-6,33,原本爸媽健保加在哥哥公司名下，我這幾年開刀醫藥費很高，想將爸媽改成加保在我這邊，明年報稅節稅使用，請問該怎麼做？
key-qa-6,34,我爸媽目前是哥哥公司幫忙加健保，我這幾年因開刀醫藥費支出高，想改到我這邊加保，明年繳稅列舉扣除額想多一點，請問如何辦理？
key-qa-6,35,爸媽現在掛在哥哥公司健保，我這幾年開刀醫藥費很高，想讓爸媽改掛我這邊，明年報稅列舉扣除額增加，這樣要怎麼處理？
key-qa-6,36,父母原先加保在哥哥的公司，我近幾年開刀醫藥費支出很高，想把父母健保移到我這邊，明年繳稅時可以多列舉扣除，請問要如何操作？
key-qa-6,37,請問我爸媽都在哥哥公司投保健保，但我這幾年開刀醫藥費很多，想把他們改加在我這邊，明年報稅扣除額可以多一點，該怎麼辦？
key-qa-6,38,爸媽的健保目前在哥哥的公司加保，我因為這幾年開刀醫藥費高，想改成爸媽加到我這邊，讓明年繳稅時列舉扣除額增加，請問辦理方法？
key-qa-6,39,原先爸媽都跟哥哥公司辦健保，我這幾年開刀醫療費用支出很高，想把爸媽健保改到我這裡，明年報稅可以多列舉扣除來節稅，請問怎麼做？
key-qa-6,40,我這幾年開刀醫藥費支出很高，想將原本在哥哥公司加健保的爸媽改加到我這邊，明年繳稅時列舉扣除額能多一些，請問如何處理？
key-qa-6,41,爸媽本來是在哥哥的公司加健保，因我近幾年有高額開刀醫藥費支出，想讓爸媽改在我這邊加保，明年報稅列舉扣除額多一點，請問該怎麼辦？
key-qa-6,42,父母的健保原先掛哥哥公司，但我這幾年因開刀醫藥費支出很高，想把父母改掛我這邊，明年繳稅時希望列舉扣除額增加，該如何辦理？
